IDN,NSN,common_name,Price,UI,AAC,Batch,ParentID
43,4020-00-289-8616,Rope,197.23,CL,H,KVPMSCA0043,3510-00-273-9738
44,4020-00-551-3343,Sash Cord,140.97,RL,H,KVPMSCA0044,3510-00-273-9739
45,4020-00-782-5574,Twine,18.14,CE,H,KVPMSCA0045,3510-00-273-9739
46,4020-00-919-3443,Rope,684.7,RL,H,KVPMSCA0046,3510-00-273-9739
47,4020-00-928-3438,Rope,45.79,RL,H,KVPMSCA0047,3510-01-622-7152
48,4020-00-968-1350,Rope,18.4,RL,H,KVPMSCA0048,3510-01-622-7152
49,4020-00-968-1351,Rope,41.4,RL,H,KVPMSCA0049,3510-01-622-7152
50,4020-00-968-1356,Rope,98.84,RL,H,KVPMSCA0050,4020-00-968-1351
51,4020-00-968-1357,Rope,170.53,RL,H,KVPMSCA0051,4020-00-968-1351
52,4020-00-968-1358,Rope,289.8,RL,H,KVPMSCA0052,4020-00-968-1351
53,4110-00-203-2706,Office Water Cooler,624.45,EA,H,KVPMSCA0053,3510-00-273-9738
54,4110-00-255-8760,Office Water Cooler,728.38,EA,H,KVPMSCA0054,3510-00-273-9738
55,4130-00-203-3321,Air Conditioner Filter,17.8,DZ,H,KVPMSCA0055,3510-00-273-9738
56,4130-00-249-0966,Air Conditioner Filter,15.87,DZ,H,KVPMSCA0056,3510-00-273-9739
57,4130-00-274-7800,Air Conditioner Filter,14.21,DZ,H,KVPMSCA0057,3510-00-273-9739
58,4130-00-541-3220,Air Conditioner Filter,11.18,DZ,H,KVPMSCA0058,3510-00-273-9739
59,4130-00-720-4143,Air Conditioner Filter,11.04,DZ,H,KVPMSCA0059,3510-01-622-7152
60,4130-00-756-1840,Air Conditioner Filter,16.42,DZ,H,KVPMSCA0060,3510-01-622-7152
61,4130-00-870-8796,Air Conditioner Filter,9.94,DZ,H,KVPMSCA0061,3510-01-622-7152
62,4140-00-833-5068,Circulating Fan,185.15,EA,H,KVPMSCA0062,4130-00-870-8796
63,4140-00-851-9319,Circulating Fan,39.77,EA,H,KVPMSCA0063,4130-00-870-8796
64,4140-00-961-5480,Circulating Fan,82.88,EA,H,KVPMSCA0064,4130-00-870-8796
65,4140-01-278-1527,Circulating Fan,230.21,EA,H,KVPMSCA0065,3510-00-273-9738
66,4140-01-278-3874,Circulating Fan,242.29,EA,H,KVPMSCA0066,3510-00-273-9738
67,4140-01-416-4898,Circulating Fan,21.85,EA,H,KVPMSCA0067,3510-00-273-9738
68,4210-00-165-4703,Fire Extinguisher,31.14,EA,H,KVPMSCA0068,3510-00-273-9739
69,4210-00-595-1777,Fire Extinguisher,104.88,EA,H,KVPMSCA0069,3510-00-273-9739
70,4210-00-775-0127,Fire Extinguisher,40.04,EA,H,KVPMSCA0070,3510-00-273-9739
71,4210-00-889-2491,Fire Extinguisher,44.31,EA,H,KVPMSCA0071,3510-01-622-7152
72,4210-00-889-2492,Fire Extinguisher,78.66,EA,H,KVPMSCA0072,3510-01-622-7152
73,4210-00-965-1105,Fire Extinguisher,28.74,EA,H,KVPMSCA0073,3510-01-622-7152
74,4210-00-965-1107,Fire Extinguisher,65.23,EA,H,KVPMSCA0074,4210-00-965-1105
75,4210-01-245-9850,Fire Extinguisher,22.68,EA,H,KVPMSCA0075,4210-00-965-1105
76,4235-01-441-0246,Absorbent Pad,75.73,BX,H,KVPMSCA0076,4210-00-965-1105
77,4235-01-441-0248,Spill-Containment Boom (Absorbent),189.09,BX,H,KVPMSCA0077,3510-00-273-9738
78,4235-01-451-8744,Absorbent Pad,77.74,BD,H,KVPMSCA0078,3510-00-273-9738
79,4235-01-453-5159,Drum Top Pad (55 Gallon) (Absorbent),74.64,BX,H,KVPMSCA0079,3510-00-273-9738
80,4235-01-456-8571,Absorbent Pillow,78.84,BX,H,KVPMSCA0080,3510-00-273-9739
81,4235-01-456-8575,Absorbent Pillow,80.34,BX,H,KVPMSCA0081,3510-00-273-9739
82,4235-01-456-8858,Spill-Containment Sock (Absorbent),89.16,BX,H,KVPMSCA0082,3510-00-273-9739
83,4235-01-456-8862,Spill-Containment Sock (Absorbent),68.68,BX,H,KVPMSCA0083,3510-01-622-7152
84,4235-01-456-9899,Spill Clean-Up Kit - Universal (Absorbent),157.15,KT,H,KVPMSCA0084,3510-01-622-7152
85,4235-01-457-0005,Spill Clean-Up Kit - Universal (Absorbent),193.23,KT,H,KVPMSCA0085,3510-01-622-7152
86,4235-01-457-0031,Spill Clean-Up Kit - Oil Only (Absorbent),186.59,KT,H,KVPMSCA0086,4235-01-457-0005
87,4235-01-457-0421,Spill Kit Refill - Universal (Absorbent),207.46,KT,H,KVPMSCA0087,4235-01-457-0005
88,4235-01-457-0431,Spill Kit Refill - Oil Only (Absorbent),207.68,KT,H,KVPMSCA0088,4235-01-457-0005
89,4235-01-457-0518,Spill Clean-Up Kit - Oil Only (Absorbent),510.74,KT,H,KVPMSCA0089,3510-00-273-9738
90,4235-01-457-0658,Travel Spill Kit - Oil Only (Absorbent),103.72,KT,H,KVPMSCA0090,3510-00-273-9738
91,4235-01-457-0663,Spill Clean-Up Kit - Oil Only (Absorbent),696.15,KT,H,KVPMSCA0091,3510-00-273-9738
92,4235-01-457-0677,Spill Clean-Up Kit - Oil Only (Absorbent),1085.07,KT,H,KVPMSCA0092,3510-00-273-9739
93,4240-00-052-3776,Safety Goggles,3.04,PR,H,KVPMSCA0093,3510-00-273-9739
94,4240-00-203-3804,Safety Goggles,9.95,PR,H,KVPMSCA0094,3510-00-273-9739
95,4240-00-262-7092,Industrial Goggle Lenses,3.39,PR,H,KVPMSCA0095,3510-01-622-7152
96,4240-00-262-7099,Industrial Goggle Lenses,5.75,PR,H,KVPMSCA0096,3510-01-622-7152
97,4240-00-269-7912,Safety Goggles,8,PR,H,KVPMSCA0097,3510-01-622-7152
98,4240-00-269-9460,Safety Glasses,9.96,PR,H,KVPMSCA0098,3510-01-622-7153
99,4240-00-516-4527,Safety Glasses,7.98,PR,H,KVPMSCA0099,3510-01-622-7153
100,4240-00-516-4728,Safety Glasses,7.58,PR,H,KVPMSCA0100,3510-01-622-7153
101,4240-00-540-0623,Welder's Helmet,30.46,EA,H,KVPMSCA0101,3510-01-622-7153
102,4240-00-542-2048,Face Shield,8.18,EA,H,KVPMSCA0102,3510-01-622-7153
103,4240-00-816-3819,Safety Goggles,24.1,PR,H,KVPMSCA0103,3510-01-622-7153
104,4240-01-292-2818,Safety Goggles,5.74,PR,H,KVPMSCA0104,3510-01-622-7153
105,4240-01-463-5449,Dust Mask (Disposable),6.21,BX,H,KVPMSCA0105,3510-01-622-7153
106,4240-01-492-0177,Disposable Particulate Respirator,6.56,BX,H,KVPMSCA0106,3510-01-622-7153
107,4460-01-443-4895,Electronic Air Freshener,270.86,EA,H,KVPMSCA0107,3510-01-622-7153
108,4460-01-443-4896,Air Freshener Cartridge,43.13,SE,H,KVPMSCA0108,3510-01-622-7153
109,4460-01-443-4897,Air Freshener Cartridge,43.13,SE,H,KVPMSCA0109,3510-01-622-7153
110,4510-00-203-2707,Soap Dispenser,7.48,EA,H,KVPMSCA0110,3510-01-622-7153
111,4510-00-203-2721,Toilet Paper Holder,3.25,EA,H,KVPMSCA0111,3510-01-622-7153
112,4510-00-224-8549,Paper Towel Dispenser,19.41,EA,H,KVPMSCA0112,3510-01-622-7153
113,4510-00-247-1370,Toilet Seat,28.84,EA,H,KVPMSCA0113,3510-01-622-7153
114,4510-00-253-0857,Double Faucet,54.83,EA,H,KVPMSCA0114,3510-01-622-7153
115,4510-00-595-0922,Drain Trap,30.23,EA,H,KVPMSCA0115,3510-01-622-7153
116,4510-00-595-1785,Drum Faucet,12.11,EA,H,KVPMSCA0116,3510-01-622-7153
117,4510-00-752-9065,Toilet Paper Holder,176.99,EA,H,KVPMSCA0117,3510-01-622-7153
118,4510-00-756-1145,Drain Trap,23.99,EA,H,KVPMSCA0118,3510-01-622-7153
119,4510-01-327-9405,Toilet Seat Cover Dispenser,8.26,EA,H,KVPMSCA0119,3510-01-622-7153
120,4510-01-426-4187,Deodorant Dispenser,40.94,EA,H,KVPMSCA0120,3510-01-622-7153
121,4510-01-480-1323,Piddle Pak,605.58,BX,H,KVPMSCA0121,3510-01-622-7153
122,4510-01-521-9866,Soap Dispenser,13.01,EA,H,KVPMSCA0122,3510-01-622-7153
123,4510-01-521-9867,Soap Dispenser,183.8,BX,H,KVPMSCA0123,3510-01-622-7153
124,4510-01-521-9868,Soap Dispenser,15.72,EA,H,KVPMSCA0124,3510-01-622-7153
125,4510-01-521-9869,Soap Dispenser,77.53,BX,H,KVPMSCA0125,3510-01-622-7153
126,4510-01-521-9870,Soap Dispenser,77.53,BX,H,KVPMSCA0126,3510-01-622-7153
127,4510-01-521-9871,Soap Dispenser,14.05,EA,H,KVPMSCA0127,3510-01-622-7153
128,4510-01-521-9872,Soap Dispenser,13.44,EA,H,KVPMSCA0128,3510-01-622-7153
129,4510-01-521-9873,Soap Dispenser,123.02,BX,H,KVPMSCA0129,3510-01-622-7153
130,4510-01-551-1194,Foam Soap Dispenser,39.25,EA,H,KVPMSCA0130,3510-01-622-7153
131,4510-01-551-2864,Foam Soap Dispenser,89.92,BX,H,KVPMSCA0131,3510-01-622-7153
132,4510-01-551-2865,Foam Soap Dispenser,16.01,EA,H,KVPMSCA0132,3510-01-622-7153
133,4510-01-551-2866,Hand Foam Dispenser,89.92,BX,H,KVPMSCA0133,3510-01-622-7153
134,4510-01-551-2867,Hand Foam Dispenser,16.01,EA,H,KVPMSCA0134,3510-01-622-7153
135,4520-00-540-2038,Space Heater,104.08,EA,H,KVPMSCA0135,3510-01-622-7153
136,4520-00-865-5939,Space Heater,84.73,EA,H,KVPMSCA0136,3510-01-622-7153
137,4720-01-447-8757,Garden Hose,43.76,LG,H,KVPMSCA0137,3510-01-622-7153
138,4720-01-447-8759,Garden Hose,23.69,LG,H,KVPMSCA0138,3510-01-622-7153
139,4730-01-385-7313,Spray Nozzle,2.28,EA,H,KVPMSCA0139,3510-01-622-7153
140,4920-01-569-3630,Plastic Polish Kit,3907.49,KT,J,KVPMSCA0140,3510-01-622-7153
141,4920-01-569-3632,Plastic Polish Kit,2197.57,KT,H,KVPMSCA0141,3510-01-622-7153
142,4920-01-569-3634,Plastic Polish Kit,4052.81,KT,H,KVPMSCA0142,3510-01-622-7153
143,4940-00-803-6444,Spray Kit,120.55,KT,H,KVPMSCA0143,3510-01-622-7153
144,4940-01-490-2455,Drip Pan,143.04,PG,H,KVPMSCA0144,3510-01-622-7153
145,4940-01-490-2463,Drip Pan,279.55,PG,H,KVPMSCA0145,3510-01-622-7153
146,4940-01-490-2470,Drip Pan,382.44,PG,H,KVPMSCA0146,3510-01-622-7153
147,4940-01-504-5270,Drip Pan With Chain,202.33,PG,H,KVPMSCA0147,3510-01-622-7153
148,4940-01-504-5273,Drip Pan With Chain,357.78,PG,H,KVPMSCA0148,3510-01-622-7153
149,4940-01-505-0680,Drip Pan With Chain,463.11,PG,H,KVPMSCA0149,3510-01-622-7153
150,4940-01-535-7652,Drip Pan with Chock Block,585.86,PG,H,KVPMSCA0150,3510-01-622-7153
151,4940-01-535-7653,Drip Pan with Chock Block,561.36,PG,H,KVPMSCA0151,3510-01-622-7153
152,4940-01-535-7654,"Drip Pan, Aircraft",680.19,PG,H,KVPMSCA0152,3510-01-622-7153
153,5110-00-018-0952,Craftsman's Knife (Set),10.06,SE,H,KVPMSCA0153,3510-01-622-7153
154,5110-00-062-6625,Crosscut Saw (2 Man),286.01,EA,H,KVPMSCA0154,3510-01-622-7153
155,5110-00-063-3037,Wire Stripper (Manually Operated),8.3,EA,H,KVPMSCA0155,3510-01-622-7153
156,5110-00-116-9397,End Cutting Pliers (Nippers),35.8,EA,H,KVPMSCA0156,3510-01-622-7153
157,5110-00-156-0054,File (American Pattern - Regular),6.2,EA,H,KVPMSCA0157,3510-01-622-7153
158,5110-00-161-6912,Paper or Stationer's Shears,13.11,EA,H,KVPMSCA0158,3510-01-622-7153
159,5110-00-162-2205,Pocket Knife (General Purpose),28.95,EA,H,KVPMSCA0159,3510-01-622-7153
160,5110-00-166-1207,File (Swiss Pattern),9.03,EA,H,KVPMSCA0160,3510-01-622-7153
161,5110-00-203-8310,Crosscut Saw,12.06,EA,H,KVPMSCA0161,3510-01-622-7153
162,5110-00-204-2685,File Set (Swiss Pattern),15.43,SE,H,KVPMSCA0162,3510-01-622-7153
163,5110-00-221-1049,Pipe Cutter (Wheel Type),427.24,EA,H,KVPMSCA0163,3510-01-622-7153
164,5110-00-221-1075,Chisels (Blacksmith's Cold),90.19,EA,H,KVPMSCA0164,3510-01-622-7153
165,5110-00-221-1087,Tinner Snips,16.28,EA,H,KVPMSCA0165,3510-01-622-7153
166,5110-00-221-1372,Chisels (Cold),33.2,EA,H,KVPMSCA0166,3510-01-622-7153
167,5110-00-222-2117,Chisels (Half Round),6.1,EA,H,KVPMSCA0167,3510-01-622-7153
168,5110-00-222-4400,Glass Cutter,3.11,EA,H,KVPMSCA0168,3510-01-622-7153
169,5110-00-222-4401,Glass Cutter,8.94,EA,H,KVPMSCA0169,3510-01-622-7153
170,5110-00-223-5379,Lathing Hatchet,32.29,EA,H,KVPMSCA0170,3510-01-622-7153
171,5110-00-224-7055,Bolt Cutter (Angle Cut),40.64,EA,H,KVPMSCA0171,3510-01-622-7153
172,5110-00-224-7056,Bolt Cutter (Angle Cut),63.63,EA,H,KVPMSCA0172,3510-01-622-7153
173,5110-00-228-3161,Half Hatchet,21.58,EA,H,KVPMSCA0173,3510-01-622-7153
174,5110-00-233-9110,Chisel (Bricklayers),14.15,EA,H,KVPMSCA0174,3510-01-622-7153
175,5110-00-234-1944,Chisels (Cold),10.72,EA,H,KVPMSCA0175,3510-01-622-7153
176,5110-00-234-6554,File (American Pattern - Regular Round),5.3,EA,H,KVPMSCA0176,3510-01-622-7153
177,5110-00-234-6557,File (American Pattern - Regular Round),7.33,EA,H,KVPMSCA0177,3510-01-622-7153
178,5110-00-236-3273,Chisels (Cold),5.73,EA,H,KVPMSCA0178,3510-01-622-7153
179,5110-00-240-3094,Ship Scraper (Ship Bottom),7.64,EA,H,KVPMSCA0179,3510-01-622-7153
180,5110-00-241-9132,File (American Pattern - Mill),2.92,EA,H,KVPMSCA0180,3510-01-622-7153
181,5110-00-241-9138,File (American Pattern - Mill),6.13,EA,H,KVPMSCA0181,3510-01-622-7153
182,5110-00-241-9149,File (American Pattern - Half Round),5.05,EA,H,KVPMSCA0182,3510-01-622-7153
183,5110-00-242-0127,File (Swiss Pattern),9.86,EA,H,KVPMSCA0183,3510-01-622-7153
184,5110-00-242-3057,Wood Plane (Jack),40.12,EA,H,KVPMSCA0184,3510-01-622-7153
185,5110-00-242-3457,Chisels (Cold),3.76,EA,H,KVPMSCA0185,3510-01-622-7153
186,5110-00-242-5387,File (American Pattern - Mill),9.9,EA,H,KVPMSCA0186,3510-01-622-7153
187,5110-00-243-0865,Adz,144.18,EA,H,KVPMSCA0187,3510-01-622-7153
188,5110-00-243-1645,Punch & Die (Knockout),26.55,EA,H,KVPMSCA0188,3510-01-622-7153
189,5110-00-243-2003,Hand Reamer (Taper Pin),18.4,EA,H,KVPMSCA0189,3510-01-622-7153
190,5110-00-243-2004,Hand Reamer (Taper Pin),17.68,EA,H,KVPMSCA0190,3510-01-622-7153
191,5110-00-243-7965,File (American Pattern - Mill),4.45,EA,H,KVPMSCA0191,3510-01-622-7153
192,5110-00-245-4160,File (Swiss Pattern),9.03,EA,H,KVPMSCA0192,3510-01-622-7153
193,5110-00-245-4177,File (Swiss Pattern),9.86,EA,H,KVPMSCA0193,3510-01-622-7153
194,5110-00-253-3152,Hand Reamer (Taper Pin),23.28,EA,H,KVPMSCA0194,3510-01-622-7153
195,5110-00-253-3154,Hand Reamer (Taper Pin),23.28,EA,H,KVPMSCA0195,3510-01-622-7153
196,5110-00-253-3156,Hand Reamer (Taper Pin),21.3,EA,H,KVPMSCA0196,3510-01-622-7153
197,5110-00-253-3158,Hand Reamer (Taper Pin),21.3,EA,H,KVPMSCA0197,3510-01-622-7153
198,5110-00-253-3160,Hand Reamer (Taper Pin),21.3,EA,H,KVPMSCA0198,3510-01-622-7153
199,5110-00-255-0420,Electrician's Scissors (Drop Forged Steel),9.49,EA,H,KVPMSCA0199,3510-01-622-7153
200,5110-00-268-2897,File (Swiss Pattern),3.84,EA,H,KVPMSCA0200,3510-01-622-7153
201,5110-00-272-2699,Single-Bit Ax,26.12,EA,H,KVPMSCA0201,3510-01-622-7153
202,5110-00-293-0108,Punch & Die (Knockout),33.52,EA,H,KVPMSCA0202,3510-01-622-7153
203,5110-00-293-0985,Knockout Punch & Die Set (Light Duty),87.52,SE,H,KVPMSCA0203,3510-01-622-7153
204,5110-00-293-1905,Metal Stamping Die Set,72.66,SE,H,KVPMSCA0204,3510-01-622-7153
205,5110-00-293-3435,Crosscut Saw,9.41,EA,H,KVPMSCA0205,3510-01-622-7153
206,5110-00-293-9199,Straight Trimmer's Shears,11.04,EA,H,KVPMSCA0206,3510-01-622-7153
207,5110-00-344-9900,Linoleum Knife (Rigid Blade),6.41,EA,H,KVPMSCA0207,3510-01-622-7153
208,5110-00-359-6478,Craftsman's Knife (Replacement Blade),1.17,PG,H,KVPMSCA0208,3510-01-622-7153
209,5110-00-373-1691,Thread Restorer File,8.57,EA,H,KVPMSCA0209,3510-01-622-7153
210,5110-00-554-7286,Piston Ring Groove Cleaner,23.94,EA,H,KVPMSCA0210,3510-01-622-7153
211,5110-00-555-9500,Dental Shears (Drop Forged Steel),16.41,EA,H,KVPMSCA0211,3510-01-622-7153
212,5110-00-585-8430,Wood Chisel (Butt),9.87,EA,H,KVPMSCA0212,3510-01-622-7153
213,5110-00-585-8431,Wood Chisel (Butt),11.04,EA,H,KVPMSCA0213,3510-01-622-7153
214,5110-00-585-8432,Wood Chisel (Butt),12.87,EA,H,KVPMSCA0214,3510-01-622-7153
215,5110-00-585-8433,Wood Chisel (Butt),7.44,EA,H,KVPMSCA0215,3510-01-622-7153
216,5110-00-596-7217,Double Bit Ax,34.9,EA,H,KVPMSCA0216,3510-01-622-7153
217,5110-00-596-9703,Bent Trimmer's Shears (Drop Forged Steel),33.02,EA,H,KVPMSCA0217,3510-01-622-7153
218,5110-00-614-1455,Electronic Cutters,25.2,EA,H,KVPMSCA0218,3510-01-622-7153
219,5110-00-640-5419,Wood Chisel (Firmer),8.84,EA,H,KVPMSCA0219,3510-01-622-7153
220,5110-00-771-3732,Steel Strapping Cutter (Safety Style),89.24,EA,H,KVPMSCA0220,4240-00-542-2048
221,5110-00-892-5071,Utility Knife (Retractable),3.84,EA,H,KVPMSCA0221,4240-00-816-3819
222,5110-00-935-0890,Diagonal Cutting Pliers,11.89,EA,H,KVPMSCA0222,4240-01-292-2818
223,5110-00-965-0878,Tube Cutter (Sliding Feed),8.36,EA,H,KVPMSCA0223,4240-01-463-5449
224,5110-01-003-9357,Wire Stripper (Manually Operated),36.05,EA,H,KVPMSCA0224,4240-01-492-0177
225,5110-01-014-4948,Cable Preparation Tools (Stripper),185.56,EA,H,KVPMSCA0225,4460-01-443-4895
226,5110-01-060-1701,Tube Cutter (Replacement Wheel),9.23,EA,H,KVPMSCA0226,4460-01-443-4896
227,5110-01-068-5253,Cable Cutter - Armored,20.68,EA,H,KVPMSCA0227,4460-01-443-4897
228,5110-01-181-7030,Electronic Cutters,5.24,EA,H,KVPMSCA0228,4510-00-203-2707
229,5110-01-241-4371,Bent Trimmer's Shears,4.51,EA,H,KVPMSCA0229,4510-00-203-2721
230,5110-01-241-4373,Straight Trimmer's Shears,4.37,EA,H,KVPMSCA0230,4510-00-224-8549
231,5110-01-241-4375,Sewing Scissors (Stamped Stainless Steel),2.76,EA,H,KVPMSCA0231,4510-00-247-1370
232,5110-01-241-4376,Pocket Scissors (Stamped Stainless Steel),4.14,EA,H,KVPMSCA0232,4510-00-253-0857
233,5110-01-321-8805,Multi-Tool,48.48,EA,H,KVPMSCA0233,4510-00-595-0922
234,5110-01-335-1366,Hacksaw Frame,10.79,EA,H,KVPMSCA0234,4240-00-542-2048
235,5110-01-335-1417,Chisels (Cold),2.81,EA,H,KVPMSCA0235,4240-00-816-3819
236,5110-01-335-1418,Chisels (Cold),5.36,EA,H,KVPMSCA0236,4240-01-292-2818
237,5110-01-335-1519,Wire Strippers/Cutters,15.18,EA,H,KVPMSCA0237,4240-01-463-5449
238,5110-01-335-1582,File (American Pattern - Mill),6.13,EA,H,KVPMSCA0238,4240-01-492-0177
239,5110-01-335-1600,File Set (Swiss Pattern),119.7,SE,H,KVPMSCA0239,4460-01-443-4895
240,5110-01-336-7982,Aviation Snips,11.8,EA,H,KVPMSCA0240,4460-01-443-4896
241,5110-01-336-7983,Aviation Snips,11.98,EA,H,KVPMSCA0241,4460-01-443-4897
242,5110-01-346-5339,Multi-Tool,66.77,EA,H,KVPMSCA0242,4510-00-203-2707
243,5110-01-346-5340,Multi-Tool,59.18,EA,H,KVPMSCA0243,4510-00-203-2721
244,5110-01-348-9536,Thread Restorer File,9.09,EA,H,KVPMSCA0244,4510-00-224-8549
245,5110-01-349-4830,Handle (File),8.81,EA,H,KVPMSCA0245,4510-00-247-1370
246,5110-01-355-8504,Hacksaw Frame,9.73,EA,H,KVPMSCA0246,4510-00-253-0857
247,5110-01-355-8506,Hacksaw,21.28,EA,H,KVPMSCA0247,4510-00-595-0922
248,5110-01-367-3830,Wire Strippers/Cutters,14.59,EA,H,KVPMSCA0248,4240-00-542-2048
249,5110-01-367-3831,Wire Strippers/Cutters,14.59,EA,H,KVPMSCA0249,4240-00-816-3819
250,5110-01-367-3878,Diagonal Cutting Pliers (High Leverage),20.57,EA,H,KVPMSCA0250,4240-01-292-2818
251,5110-01-367-4648,Diagonal Cutting Pliers,11.72,EA,H,KVPMSCA0251,4240-01-463-5449
252,5110-01-367-7248,Diagonal Cutting Pliers,16.36,EA,H,KVPMSCA0252,4240-01-492-0177
253,5110-01-369-9340,Pocket Knife (Folding),33.1,EA,H,KVPMSCA0253,4460-01-443-4895
254,5110-01-377-2274,Cable Preparation Tools (Stripper),21.97,EA,H,KVPMSCA0254,4460-01-443-4896
255,5110-01-377-2344,Wire Stripper (Manually Operated),31.94,EA,H,KVPMSCA0255,4460-01-443-4897
256,5110-01-385-7235,Pocket Knife (Folding),32.56,EA,H,KVPMSCA0256,4510-00-203-2707
257,5110-01-385-7354,Multi-Tool Kit,59.64,SE,H,KVPMSCA0257,4510-00-203-2721
258,5110-01-385-7392,Pocket Knife (Folding),28.51,EA,H,KVPMSCA0258,4510-00-224-8549
259,5110-01-394-6249,Multi-Tool,53,EA,H,KVPMSCA0259,4510-00-247-1370
260,5110-01-394-6252,Multi-Tool,48.67,EA,H,KVPMSCA0260,4510-00-253-0857
261,5110-01-395-0291,Pocket Knife (Folding),32.56,EA,H,KVPMSCA0261,4510-00-595-0922
262,5110-01-400-1447,Diagonal Cutting Pliers,12.81,EA,H,KVPMSCA0262,4240-00-542-2048
263,5110-01-414-4918,Pocket Knife (Folding),25.85,EA,H,KVPMSCA0263,4240-00-816-3819
264,5110-01-414-4920,Pocket Knife (Folding),28.71,EA,H,KVPMSCA0264,4240-01-292-2818
265,5110-01-416-7827,Combination Tool (Single Bit Ax),47.63,EA,H,KVPMSCA0265,4240-01-463-5449
266,5110-01-416-7830,Combination Tool (Ax Head Sheath),15.04,EA,H,KVPMSCA0266,4240-01-492-0177
